Work Steps,Actions,CATEGORY 
"STEERING INOP MESSAGE WHEN TILLER ENGAGED. CREW REPORTS NOISE COMING FROM NOSE GEAR WHEN STEERING ENGAGED, ALONG WITH INOP MESSAGE. / LOTO DEVICE INSTALLED. / ENGINEERING TROUBLESHOOTING COMPLY WITH TI E145-3250-2021-002. RECORD FINDINGS ON THIS WORKORDER. FIX OR DEFER ANY DISCREPENCIES FOUND.",". 

COMPLIED WITH TI E145-3250-2021-002. REMOVED AND REPLACED STEERING MANIFOLD REF EMB 145 AMM 32-50-04. REMOVED AND REPLACED STEERING ELECTRONIC CONTROL MODULE REF EMB 145 AMM 32-50-03 OPS CHECK GOOD / REMOVED AND STOWED LOTO AS REQUIRED / COMPLIED WITH TI E145-3250-2021-002. REMOVED AND REPLACED STEERING MANIFOLD REF EMB 145 AMM 32-50-04. REMOVED AND REPLACED STEERING ELECTRONIC CONTROL MODULE REF EMB 145 AMM 32-50-03 OPS CHECK GOOD",NOSE WHEEL STEERING
EMERGENCY BRAKE LOW PRESSURE MESSAGE ON EICAS. / LOTO DEVICE INSTALLED. / MEL REQUIRES VERIFICATION,". 

REMOVED AND STOWED LOTO DEVICE. / DEFERRED PER MEL 32-44-05-1. PLACARD INSTALLED. CONFIRMED ACCUMULATOR SERVICED TO PROPER LEVEL. NO LEAKS NOTED. / LOTO DEVICE REMOVED AND STOWED / MEL VERIFIED. APPLIED CORRECTLY / SEE W.O. 101834193 FOR MTC CORRECTIVE ACTION. MEL CLEARED. PLACARD FEMOVED. / SEE W.O. 101834193 FOR MTC CORRECTIVE ACTION. MEL CLEARED. PLACARD FEMOVED.",PARKING BRAKE
PARKING BRAKE VERY HARD TO SET / LOTO INSTALLED,". 

PARKING BRAKE LUBED PARKING BRAKE CABLE IAW EMB 145XR MM 32-44-10, OPS CK GOOD / LOTO REM",PARKING BRAKE
TERRAIN INOP MESSAGE ON EICAS. / MEL REQUIRES VERIFICATION,". 

DEFERRED PER MEL 34-41-00-9. CAT II NOT AUTHORIZED PLACARD INSTALLED. / R&R GPWS COMPUTER IAW 34-41-01 OPS CHECK SAT MEL CLEARED PLACARD REMOVED / LP 73730 VERIFIED MEL 34-41-00-9 WAS COMPLIED WITH. PLACARD APPLIED. MEL REMAINS.",EGPWS/WINDSHEAR/TERR
#2 FMS CONTINUOUSLY RESTARTS / MEL VERIFICATION REQ,". 

DEFFERED PER MEL 34-60-00-1, MX PROCEDURES C/W PULLED AND COLLARED C/B D25, PLACARD APPLIED / LP# 72586 SEE WO# 101833327 FOR CORRECTIVE ACTION. FMS #2 HAS UPDATED NAV, AIRCRAFT, AND CUSTOM DATABASE. MEL CLEARED, C/B RESET, AND PLACARD REMOVED. / FMS VERIFY COMPLIED WITH FMS #2 MEL VERIFICATION",FMS
#2 FMS NOT WORKING / LOTO INSTALLED,". 

PERFORMED OPERATIONAL CHECK OF #2 FMS IAW EMB 145 MM 34-61-00. OPS CHECKED SAT / REMOVED AND STOWED LOTO AS REQUIRED",FMS
#2 FMS SCREEN BLANK / LOTO DEVICE INSTALLED.,". 

FMS RESET #2 FMS/CDU OPS CHECK GOOD IAW EMB 145 MM 34-61-00 / LOTO REMOVED",FMS
A/C UNABLE TO TRACK LOCALIZER BOTH CAPTAIN AND CO-PILOT SIDE. RUNWAY DOES NOT LINE UP WITH LOCALIZER COURSE / LOTO INSTALLED,". 

PERFORMED OPS CHECK IAW EMB145 AMM 34-32-00. OPS CHECK SAT. NO HISTORY OR DEFECTS NOTED AT THIS TIME. A/C OK FOR SERVICE. / LOTO REMOVED",VOR/DME/LOC/ILS
WX TILT KNOB ONLY TILTS UP 5 DEG ON THE CAPT SIDE / LOTO DEVICE INSTALLED,". 

WX TILT KNOB RESET CA`S WX RADAR CONTROLLER, OPS CK GOOD IAW EMB 145XR MM 34-42-00 / LOTO REM",WEATHER RADAR
INOP DEMO MASK / LOTO INSTALLED,". 

REPLACED OXYGEN MASK CLIP HOLDER AS REQUIRED / LOTO REMOVED AND STOWED",DEMO EQUIP
OXYGEN BOTTLE BELOW 1500 PSI / LOTO INSTALLED,". 

1200 PSI ACCEPTABLE FOR DISPATCH PER AMM 12-14-00. / LOTO REMOVED AND STOWED AS REQUIRED",PORTABLE O2
APU BLEED INOP. / MEL REQUIRES VERIFICATION / RECLASSIFY MEL TO 36-12-01-1 TO BE FOR APU BLEED,". 

DEFERRED PER MEL 49-00-00-1. PLACARD INSTALLED. C/B C30 ON OVERHEAD AND E6 ON LT DIST PANEL PULLED AND COLLARED. / VERIFICATION COMPLETE. MEL APPLIED CORRECTLY / VERIFICATION COMPLETE. MEL APPLIED CORRECTLY / VERIFICATION COMPLETE. MEL APPLIED CORRECTLY / R&R APU BLEED VALVE IAW EMB 145 AMM 36-12-03. OPS CHECK SAT. PLACARD REMOVED. CB C14 CLOSED. MEL CLEARED / RECLASSIFIED MEL TO 36-12-01-1. PLACARD INSTALLED. APU BLEED VALVE VERIFIED CLOSED. / R&R APU BLEED VALVE IAW EMB 145 AMM 36-12-03. OPS CHECK SAT. PLACARD REMOVED. CB C14 CLOSED. MEL CLEARED",APU BLEED
BAGGAGE DOOR OPEN MSG ON EICAS AND BAGGAGE DOOR OPEN INDICATION ON DOOR PAGE WHEN CLOSED AND CLOCKED,". 

DEFERRED PER MEL 52-70-00-2, DOOR VERIFIED CLOSED PRIOR TO DEPARTURE, PLACARD APPLIED / FOUND IMPROPER INSTALLATION OF HARDWEAR ON MICRO SWITCHS OPERATIONAL CHECK SAT NO FURTHER DEFECTS NOTED AT THIS TIME. IAW EMB 145XR AMM 52-76-01. PLACARD REMOVED THIS CLEARS MEL",DOOR INDICATION
DENT ON MIDDLE OF #1 ENGINE COWLING BOTTOM. / LOTO DEVICE INSTALLED.,". 

DENT JUST AFT OF RIB AT XN2180 FOUND OUT OF LIMITS. RECONTOURED DENT IAW EMB145 SRM 51-10-08. PERFORMED 30X INSP AND FOUND FREE FROM DEFECTS IAW ETD 2021-145-032741. / LOTO REMOVED + STOWED",DENT
WHITE SMOKE FROM #1 ENGINE ON SHUT DOWN / LOTO DEVICE INSTALLED.,". 

REMOVED AND STOWED LOTO DEVICE / INSPECTED ENGINE. NO SIGN OF LEAKS OR RESIDUAL OIL. DEFERRED PER DMI 101834300 FOR 50 FLT HRS IRW RRMM TASK 05-50-00-200-808. / #1 ENGINE SMOKING REMOVED AND REPLACED #1 ENGINE SHAFT PLUG IAW RR MM 72-59-15 ENGINE RUN GOOD. NO SMOKE. NO DEFECT NOTED. DMI CLEARED / LOTO REMOVED AND STOWED LOTO DEVICE AS REQUIRED",ENGINE
#1 ENG REQ OIL SERVICE / LOTO DEVICE INSTALLED,". 

SERVICED OIL IAW EMB 145 AMM 12-12-01. REF SERVICE CHECK W/O 101833665 / LOTO REMOVED AND STOWED AS REQ",ENG OIL
BOTH NOSE GEARS TIRES HAVE CHORDS SHOWING / LOTO INSTALLED,". 

R/R BOTH #1 AND #2 NLG TIRES IAW EMB 145 AMM 32-49-05. NO DEFECTS NOTED AT THIS TIME. / LOTO REMOVED AND STOWED AS REQUIRED.",TIRE WORN
TWO SCREWS MISSING FROM PANEL BEHIND RT WHEEL WELL / LOTO DEVICE INSTALLED.,". 

REPLACED MISSING SCREWS BEHIND RT WHEEL WELL IAW EMB 145 AMM 20-10-01 / LOTO REMOVED AND STOWED",MISSING/LOOSE HARDWARE
PACK 2 VALVE FAIL / LOTO INSTALLED,". 

DEFERRED PER MEL 21-51-00-3. PLACARD APPLIED / REMOVED AND REPLACED Y DUCT FOR DTCV IAW EMB 145 XR AMM 21-60-01. OPS CHECK AND LEAK CHECK SAT. PLACARD REMOVED, MEL CLEARED. / LOTO REMOVED AND STOWED",PACK VALVE
A/C FAILED TO PRESSURIZE IN FLIGHT,". 

A/C OK FOR SERVICE. FOLLOWED QRH AND FOUND PRESSURIZATION KNOB TO BE AT THE WRONG SETTING. CORRECTED KNOB POSITION AND FOUND PRESSURIZATION TO WORK.",PRESSURIZATION PROBLEM
ELECT SMELL IN COCKPIT AND FWD CABIN / LOTO INSTALLED INSTALLED LOTO,". 

C/W FIM TASK 21-20-00-810-801-A, FOUND ELETRICAL BURNING SMELL ON FWD FLASHLIGHT ASSY. R&R FWD FLASHLIGHT ASSY IN REF TO EMB 145 AMM 33-50-16, NO OTHER SMELLS NOTED AT THIS TIME / LOTO REMOVED & STOWED AS REQ",SMOKE/SMELL IN COCKPIT/CABIN
SPARE HEADSET CORD INOP. / LOTO DEVICE INSTALLED.,". 

R&R SPARE HEADSET IAW EMB 145 AMM 23-12-00 / LOTO DEVICE REMOVED AND STOWED AS REQ",COMM
F/A P/A CAN BE HEARD IN COCKPIT AND IS INTERMITTENT / LOTO DEVICE INSTALLED.,". 

DESELECTED PAX ON OBSERVERS DAP, OPS CK SAT IAW EMB 145 AMM 23-31-00 / LOTO DEVICE REMOVED AND STOWED AS REQ",PA/INTERPHONE
F/A CABIN ADDRESS CD POOR QUALITY / LOTO DEVICE INSTALLED,". 

REMOVED AND STOWED LOTO DEVICE. / PROVIDED NEW SAFETY CD TO THE CREW.",PA/INTERPHONE
APU GEN OFF BUS ON EICAS / LOTO DEVICE INSTALLED,". 

DEFERRED PER MEL 24-34-01-2. PLACARDS APPILED. / PERFORMED APU GENOPS CHECK IRW 24-34-00. OPS CHECK SAT. MEL CLEARED. PLACARD REMOVED. / LOTO REMOVED AND STOWED AS REQUIRED",APU GEN PROBLEM
COCKPIT READING LIGHT CB FOUND TRIPPED / LOTO INSTALLED,". 

PUSHED COCKPIT READING LIGHT CB IN IAW EMB 145 AMM 33-11-00 NO FAULTS FOUND OPS CHECK GOOD / LOTO REMOVED AND STOWED",COCKPIT LIGHT/PUSHBUTTON
F/O HEADREST NEEDS TO BE RESECURED / LOTO DEVICE INSTALLED,". 

RESECURED F/O HEADREST REF TO EMB 145 VCMM 25-11-71. / LOTO REMOVED AND STOWED LOTO TAG AS REQ.",CREW SEAT
PSU LIGHT AT SEAT 7CD INOP (CALL LIGHT) / LOTO DEVICE INSTALLED,". 

DEFFERED PER NEF 25-90-05-1, PLACARD APPLIED / LP 55530 NO PARTS AVAILABLE - NEF CONTINUES. / LOGPAGE 55541 R&R ATTENDANT-CALL ANNUCIATOR IAW EMB 145 AMM 33-25-05 OPS CHECK SAT. PLACARD REMOVED. NEF CLEARED. / LOTO DEVICE REMOVED AND STOWED AS REQ",INTERIOR LIGHT
8C ARMREST COVER FELL OFF / LOTO INSTALLED,". 

R/R SEAT 8C ESCUTCHEON IAW ZODIAC CMM 25-20-59. NO NEW DEFECTS NOTED AT THIS TIME / LOTO REMOVED AND STOWED AS REQUIRED",PAX SEAT
ROW 22 C/D ARM REST BROKEN / LOTO DEVICE INTALLED,". 

REMOVED AND REPLACED ROW 22CD SEAT CENTER ARMREST IAW AMM 25-10-59 / REMOVED AND STOWED LOTO",PAX SEAT
SEAT 21C DOES NOT STAY UPRIGHT LOTO INSTALLED,". 

RE- SECURED 21C SEAT RECLYINE BUTTON IRW EMB 145, VCMM 25-20-59. OPS CHECK SAT LOTO REMOVED AND STOWED AS REQ",PAX SEAT
1 SEATBELT EXTENDER REQ / LOTO DEVICE INSTALLED,". 

DELIVERED AS REQUIRED / REMOVED AND STOWED AS REQUIRED",PAX-SEAT BELT EXTENDER
METAL PLACRD BELOW COFFEE POT UNSECURE,". 

RESCURED COFFEE MAKERS PLACARD IN REF EMB 145 AMM 11-00-01",PLACARD
E CLIMB BUTTON WONT ENGAGE,". 

UNSTUCK E CLIMB BUTTON PER MOC. A/C OK FOR SERVICE.",COCKPIT LIGHT/PUSHBUTTON
TWO SCREWS MISSING FROM GUST LOCK / LOTO DEVICE INSTALLED.,". 

REPLACED MISSING SCREWS IN REF TO EMB 145 E145-2770-2018-001 / LOTO REMOVED & STOWED AS REQ",MISSING/LOOSE HARDWARE
SPS 1-2 INOP AND STICK PUSHER FAIL ON EICAS / LOTO INSTALLED,". 

RESET SPS 1 AND 2 STICK PUSHER. OPS CHECK GOOD IAW EMB145 AMM 27-36-00 / LOTO REMOVED AND STOWED",SPS
WG A/I FAIL DURING TEST B IN FLIGHT / LOTO DEVICE INSTALLED,". 

DEFFERED PER MEL 30-11-00-1 MX PROCEDURES C/W PLACARD APPLIED / R&R WING 1 A/I VALVE IAW EMB-145XR AMM 30-11-01. OPS CHECK AND LEAK CHECK SAT. MEL CLEARED AND PLACARD REMOVED. / LOTO DEVICE REMOVED AND STOWED AS REQ",A/I PROBLEM-WING
WINDSHIELD #2 HEAT EICAS FAIL (STAYED ON LESS THAN 5 SEC 2X) / LOTO INSTALLED,". 

SWAPPED OVERTEMP SENSOR LEADS FROM 5&6 TO SPARES POSITION 3&4 IAW EMB 145 FIM 30-42-00 OPS CHECK #2 WINDSHIELD SAT / REMOVED AND STOWED LOTO",WS HEAT
CASS MSG DISPLAYED AFTER ENGINE START AND GPU DISCONNECT / LOTO DEVICE INSTALLED,". 

RESET AIRCARFT ELECTRICAL SYS. CAS MSG. WENT AWAY. IAW EMB. 145 AMM 24-60-00 / REMOVED AND STOWED LOTO.",ELECTRICAL PROBLEM
LH RED NAV LIGHT INOP,". 

OPS CK OPS CHECK L/H REF NAV LIGHT OPS GOOD REF TO EMB 145 M.M 33-43-00.",EXTERIOR LIGHT
RH GREEN NAV LIGHT INOP,". 

DEFFERED PER MEL 33-43-00-1 PLACED NAV SWITCH TO STBY AND PLACARD APPLIED / R/R RH GREEN NAV LIGHT LAMP IAW EMB 145XR AMM 33-43-03, OPS CHECK SAT, PLACARD REMOVED, MEL CLEARED NAV SWITCH RETURNED TO NORMAL POSITION.",EXTERIOR LIGHT
"AHARS 1 FAIL AND WONT ALIGN AHARS 1 FAIL, AHARS 1 EXC MOTION, AHARS 1 WONT ALIGN ATTEMPTED 5 RESETS WONT ALIGN / LOTO INSTALL INSTALLED LOTO / AHARS 1 FAIL TROUBLESHOOTING.",". 

AHARS 1 FAIL AND WONT ALIGN REMOVED AND REPLACED #1 AHRS IAW EMB 145 XR AMM 34-21-01. OPS CHECK SAT IAW EMB 145 XR AMM 34-21-00. / LOTO INSTALL REMOVED AND STOWED LOTO AS REQUIRED. / RERACKED AHARS 1, FAULT DID NOT CLEAR. SWAPPED AHARS 1 AND 2, FAULT FOLLOWED. INSTALLED AHARS 1 AND 2 IN ORIGINAL POS, REF EMB 145 XR AMM 34-21-01. FAULT REQUIRES AHARS CPU, REF ORIGINAL WO FOR CORRECTIVE ACTION.",AHRS
INTERMITTENT GPWS/WINDSHIER INOP MSG ON EICAS / LOTO DEVICE INSTALLED,". 

GPWS RESET GPWS OPS CHECK GOOD REF TO EMB 145 MM 34-41-00 / LOTO REMOVED AND STOWED LOTO AS REQ",EGPWS/WINDSHEAR/TERR
RA 1 FLUCTUATES ON GROUND / LP 72582 LOTO DEVICE INSTALLED.,". 

DEFERRED PER MEL 34-31-00-3. PLACARD INSTALLED. C/B D14 PULLED AND COLLARED. / REMOVED AND STOWED LOTO DEVICE / LP# 72585 R/R RA 1 IAW EMB145 AMM 34-31-01. OPS CHECK SAT. MEL CLEARED. PLACARD REMOVED. C/B PUSHED IN. NO DEFECTS NOTED / REMOVED AND STOWED LOTO DEVICE AS REQ`D",RADIO ALT
RA 2 INOP,". 

DEFERRED PER MEL 34-31-00-2. PULLED AND COLLARED CB D21. PLACARD APPLIED / RA INOP TROBLESHOT IAW EMB 145 AMM 34-31-00-810-803 FOUND #2 RA TO BE FAULTY. R/R #2 RA IWA EMB 145 AMM 34-31-01. OPS CHK SAT. NO OTHER DEFECT NOTED AT THIS TIME. PUSHED CB D21. PLACARD REMOVED. THIS CLEARS MEL",RADIO ALT
WX RADAR INOP. / LOTO DEVICE INSTALLED.,". 

R/R REMOVED AND INSTALLED RCVR TRANSMITTER ANTENNA IRW E145 AMM 34-42-01. OPS CK SAT. / LOTO REMOVED AND STOWED LOTO AS REQ`D.",WEATHER RADAR
PORTABLE O2 BOTTLE BELOW 1500 PSI,". 

SERVICED AFT PORTABLE O2 BOTTLE IAW AMM 35-10-00",PORTABLE O2
DENT FOUND ON BOTTOM OF #1 ENG COWLING AFT OF THE VENT / LOTO DEVICE INSTALLED,". 

REMOVED AND STOWED LOTO DEVICE. / INSPECTED DENT AND FOUND IT WITHIN LIMITS IRW SRM 54-10-00. NO FURTHER DANAGE NOTED. NO FURTHER ACTIONS REQUIRED.",DENT
BAG DOOR HOLD OPEN ROD CLIP BROKEN. / LOTO DEVICE INSTALLED.,". 

R/R HOLDOPEN CLIP IAW EMB 145 AMM 52-30-01. OPS CHECK SAT. / LOTO REMOVED AND STOWED AS REQUIRED",CARGO INTERIOR
POSSIBLE NICK ON E1 INTAKE FAN BLADE. / LOTO DEVICE INSTALLED.,". 

#1 ENGINE FAN BLADE SEE CA-49 01 SVC 46177, 02 SVC 46177, AND 03 SVC 46177 FOR WORK PERFORMED / LOTO DEVICE REMOVED AND STOWED",ENGINE
ITT FLUCTUATING WITH NO ROTATION ON #2 ENGINE / LOTO DEVICE INSTALLED,". 

ITT FLUCTUATING WITH NO ROTATION ON #2 ENGINE R/R BOTH ENG #2 A AND B THERMOCOUPLE HARNESSES IAW RRMM 77-21-20 AND THERMOCOUPLES 6 AND 11 IAW RRMM 77-21-10. OPS CHECK SAT. / LOTO REMOVED AND STOWED.",ENG HIGH ITT
E2 ST DISP ON EICAS CMC: ST E2 ITT SYS,". 

DEFFERED PER MEL 73-22-01-1, PLCACARD APPLIED / E3 ST DISP ON EICAS R/R BOTH ENG #2 A AND B THERMOCOUPLE HARNESSES IAW RRMM 77-21-20 AND THERMOCOUPLES 6 AND 11 IAW RRMM 77-21-10. OPS CHECK SAT. MEL CLEARED. PLACARD REMOVED.",ENG NO DISP/SHORT DISP
50 PASSENGER SAFETY CARDS MISSING. / LOTO INSTALLED,". 

50 PAX CARDS SUPPLIED PAX BRIEFING CARDS AS REQUIRED / LOTO REM",PAPERWORK
LANDING OVERWEIGHT SMOOTH LANDING DECENT LESS THEN 200FT PER MIN,". 

FOUND TO BE WITHIN LIMITS PER E145 AMM 05-50-25 A/C RETURNED TO SVC",SPECIAL INSPECTION
OVERWEIGHT LANDING BY 57 LBS. SINK RATE LESS THAN 150 FPM / LOTO INSTALLED,". 

A/C DID NOT EXCEED LIMIT IN REF TO EMB 145 AMM 05-50-25, A/C RETURNED TO SERVICE / LOTO REMOVED & STOWED AS REQ",SPECIAL INSPECTION
RATING CRUISE BUTTON STUCK IN +RATING CRUISE BUTTON STUCK IN / LOTO INSTALL INSTALLED LOTO,". 

RATING CRUISE BUTTON STUCK IN CLEANED THRUST RATING CRZ PUSH BUTTON IRW E145 AMM 20-13-04. / LOTO INSTALL REMOVED AND STOWED LOTO AS REQ`D.",ENG CONTROL
PACK 2 FAILED AT THE GATE.,". 

FOLLOWED QRH RESET PROCEDURE. PACK 2 NOW OPERATES NORMALLY.",PACK INOP/FAIL
